"","year","age","value","model","value_lower","value_upper"
"472",1965,3,0.00712383202315184,"Independent model + age risk + rho",0.00114666240677054,0.0303484495163883
"473",1966,3,0.00729570605835606,"Independent model + age risk + rho",0.00108319635503271,0.0292932741294538
"474",1967,3,0.00983892448386345,"Independent model + age risk + rho",0.00132141131143963,0.0492147146616892
"475",1968,3,0.13696206455355,"Independent model + age risk + rho",0.0620981233599213,0.241450537201397
"476",1969,3,0.199555720000316,"Independent model + age risk + rho",0.122062832873929,0.299500152024467
"477",1970,3,0.0206385866200397,"Independent model + age risk + rho",0.00473798421843907,0.051806084681723
"478",1971,3,0.0342016490923996,"Independent model + age risk + rho",0.00825846991309538,0.0838122298717704
"479",1972,3,0.00792044113547467,"Independent model + age risk + rho",0.00147782454499689,0.0369806614250335
"480",1973,3,0.00819848457234577,"Independent model + age risk + rho",0.00147191731571706,0.0339734848379485
"481",1958,4,NA,"Independent model + age risk + rho",NA,NA
"482",1959,4,NA,"Independent model + age risk + rho",NA,NA
"483",1960,4,NA,"Independent model + age risk + rho",NA,NA
"484",1961,4,0.073670450220332,"Independent model + age risk + rho",0.00305268387077302,0.34478841481176
"485",1962,4,0.023074815515758,"Independent model + age risk + rho",0.0016728423831354,0.163129414902719
"486",1963,4,0.0100876506484603,"Independent model + age risk + rho",0.00144429470006022,0.0619587115694066
"487",1964,4,0.0116600798366056,"Independent model + age risk + rho",0.00139929927138171,0.0605016540898355
"488",1965,4,0.00694375566176193,"Independent model + age risk + rho",0.00112985739162153,0.0303075667594704
"489",1966,4,0.0073872748057133,"Independent model + age risk + rho",0.00108465001714544,0.0299851303652486
"490",1967,4,0.00989193376548011,"Independent model + age risk + rho",0.00133063702878976,0.0495156385019404
"491",1968,4,0.138410315551782,"Independent model + age risk + rho",0.0626385793014842,0.250849208398661
"492",1969,4,0.201183348172761,"Independent model + age risk + rho",0.12172344958084,0.305090656946522
"493",1970,4,0.0207827112705812,"Independent model + age risk + rho",0.00466840317129104,0.0518583587991289
"494",1971,4,0.0307187887058987,"Independent model + age risk + rho",0.00702728466163213,0.075747082506748
"495",1972,4,0.00642567340699136,"Independent model + age risk + rho",0.00113589705422502,0.0302052927007839
"496",1973,4,0.0081188585158891,"Independent model + age risk + rho",0.00137806133498114,0.0347168161438085
"497",1958,5,NA,"Independent model + age risk + rho",NA,NA
"498",1959,5,NA,"Independent model + age risk + rho",NA,NA
"499",1960,5,NA,"Independent model + age risk + rho",NA,NA
"500",1961,5,NA,"Independent model + age risk + rho",NA,NA
"501",1962,5,0.0227445451928861,"Independent model + age risk + rho",0.00168333857237583,0.166334223542836
"502",1963,5,0.0101143533452214,"Independent model + age risk + rho",0.00147785645918955,0.0626817860785739
"503",1964,5,0.0115496619750325,"Independent model + age risk + rho",0.00133779832603845,0.0590871487755763
"504",1965,5,0.00629433988926107,"Independent model + age risk + rho",0.001075188066291,0.0272052583628872
"505",1966,5,0.00731397793448696,"Independent model + age risk + rho",0.00110608931840295,0.0299194725098076
"506",1967,5,0.00995923325969365,"Independent model + age risk + rho",0.00133058826631539,0.0517334192460802
"507",1968,5,0.139301517900824,"Independent model + age risk + rho",0.0617823987755034,0.250285619794386
"508",1969,5,0.202566971345987,"Independent model + age risk + rho",0.121753199339059,0.312521511239642
