"","year","age","value","model","value_lower","value_upper"
"249",1966,7,5.43284762495147e-05,"Two-outbreak model + age risk",1.65170096310066e-05,0.000185153119846917
"250",1967,7,0.0064385515033401,"Two-outbreak model + age risk",0.00275118100731429,0.014490947490886
"251",1968,7,0.103918819259542,"Two-outbreak model + age risk",0.0625181918125806,0.162007157284275
"252",1969,7,0.198328508857029,"Two-outbreak model + age risk",0.147513730004711,0.263025586296715
"253",1970,7,0.050711485452857,"Two-outbreak model + age risk",0.0294266419979357,0.0804282074164519
"254",1971,7,0.00196800686886192,"Two-outbreak model + age risk",0.000809747750912878,0.00421897948734313
"255",1972,7,1.07102601775502e-05,"Two-outbreak model + age risk",3.00442631311044e-06,3.3271490926294e-05
"256",1973,7,7.92293056867225e-09,"Two-outbreak model + age risk",1.51442674585407e-09,3.52070077933864e-08
"257",1958,8,NA,"Two-outbreak model + age risk",NA,NA
"258",1959,8,NA,"Two-outbreak model + age risk",NA,NA
"259",1960,8,NA,"Two-outbreak model + age risk",NA,NA
"260",1961,8,NA,"Two-outbreak model + age risk",NA,NA
"261",1962,8,NA,"Two-outbreak model + age risk",NA,NA
"262",1963,8,NA,"Two-outbreak model + age risk",NA,NA
"263",1964,8,NA,"Two-outbreak model + age risk",NA,NA
"264",1965,8,1.76304442222975e-06,"Two-outbreak model + age risk",7.38900363607811e-08,0.00036138834560883
"265",1966,8,5.57977335244161e-05,"Two-outbreak model + age risk",1.67398613333215e-05,0.000192138278314421
"266",1967,8,0.00659888825506594,"Two-outbreak model + age risk",0.00277318736997434,0.0150494071378888
"267",1968,8,0.0998213940310332,"Two-outbreak model + age risk",0.0593486754545792,0.154202225666215
"268",1969,8,0.187828494116284,"Two-outbreak model + age risk",0.138848932759094,0.251720400841276
"269",1970,8,0.0507656795084151,"Two-outbreak model + age risk",0.0287590009193829,0.0794911264389124
"270",1971,8,0.00201224559958528,"Two-outbreak model + age risk",0.0008068430396928,0.00435866222469311
"271",1972,8,1.09575575582453e-05,"Two-outbreak model + age risk",3.05444246387011e-06,3.38145532365649e-05
"272",1973,8,8.10061563320109e-09,"Two-outbreak model + age risk",1.51130145399165e-09,3.61423938445455e-08
"273",1958,9,NA,"Two-outbreak model + age risk",NA,NA
"274",1959,9,NA,"Two-outbreak model + age risk",NA,NA
"275",1960,9,NA,"Two-outbreak model + age risk",NA,NA
"276",1961,9,NA,"Two-outbreak model + age risk",NA,NA
"277",1962,9,NA,"Two-outbreak model + age risk",NA,NA
"278",1963,9,NA,"Two-outbreak model + age risk",NA,NA
"279",1964,9,NA,"Two-outbreak model + age risk",NA,NA
"280",1965,9,NA,"Two-outbreak model + age risk",NA,NA
"281",1966,9,5.7638437859756e-05,"Two-outbreak model + age risk",1.73261339339477e-05,0.000200333747291633
"282",1967,9,0.00680173119432393,"Two-outbreak model + age risk",0.00285828987026019,0.0155713131099952
"283",1968,9,0.101375178075961,"Two-outbreak model + age risk",0.0592312658509345,0.16006030523568
"284",1969,9,0.17971834088215,"Two-outbreak model + age risk",0.128326749864144,0.243081138403713
"285",1970,9,0.0477107632672093,"Two-outbreak model + age risk",0.0269752527475282,0.0740109496925231
"286",1971,9,0.00199384498679962,"Two-outbreak model + age risk",0.000798801146026176,0.00430382055929729
"287",1972,9,1.11891177162972e-05,"Two-outbreak model + age risk",3.07677440860438e-06,3.43329386518769e-05
